split,customers,positive_rate,roc_auc,pr_auc,log_loss,brier_score,accuracy_at_0.5
Train,4239,0.47534795942439256,0.5,0.47534795942439256,0.6919312414349181,0.2493922768954586,0.5246520405756074
Validation,558,0.35304659498207885,0.5,0.35304659498207885,0.6798615422455492,0.2433623204980904,0.6469534050179212
Test,459,0.5076252723311547,0.5,0.5076252723311547,0.6951166307329215,0.25098368015035677,0.4923747276688453
